player_id,player_name,yellow_card,second_yellow_card,red_card,total_yellow,total_red,mins_played,position_mapped,redsize
1443,christian poulsen,1,0,0,1,0,745,midfielder,1
144303,lazar markovic,4,0,0,4,0,1988,attacker,1
1450,lilian laslandes,1,0,0,1,0,475,attacker,1
14542,zvonimir vukic,1,0,0,1,0,518,midfielder,1
145466,tim ream,2,0,0,2,0,3669,defender,1
145488,johnny gorman,0,0,0,0,0,1,attacker,1
14551,quincy owusu-abeyie,0,0,0,0,0,472,attacker,1
14555,scott carson,6,0,1,6,1,12937,goalkeeper,2
14560,paul bernard,1,0,0,1,0,5742,defender,1
145634,itzik zohar,0,0,0,0,0,228,midfielder,1
145707,danilo,3,0,0,3,0,2146,defender,1
145743,ian rush,12,0,0,12,0,14195,attacker,1
145765,gary ablett,16,0,0,16,0,9733,defender,1
145778,paul stewart,8,1,1,9,2,4123,midfielder,3
145782,jimmy carter,1,0,0,1,0,1137,attacker,1
145786,bruce grobbelaar,1,0,0,1,0,5852,goalkeeper,1
145817,gary gillespie,0,0,1,0,1,163,defender,2
145922,jon flanagan,11,0,0,11,0,3683,defender,1
145988,wilfried zaha,37,1,0,38,1,18785,attacker,2
146139,andreas lund,1,0,0,1,0,850,attacker,1
146164,max meyer,4,0,0,4,0,2062,midfielder,1
14619,alan kernaghan,7,0,1,7,1,6127,defender,2
14624,jason lee,7,1,0,8,1,3182,attacker,2
146258,jetro willems,0,0,0,0,0,1501,defender,1
146488,samir carruthers,1,0,0,1,0,19,midfielder,1
146494,anthony forde,0,0,0,0,0,243,midfielder,1
146509,conor townsend,0,0,0,0,0,1425,defender,1
14660,mixu paatelainen,1,0,0,1,0,1044,attacker,1
146690,george baldock,11,0,0,11,0,5534,defender,1
14673,justin skinner,0,0,0,0,0,135,midfielder,1
146795,ryan fraser,7,1,0,8,1,9937,attacker,2
146844,kerim frei,1,0,0,1,0,905,attacker,1
147034,marco van ginkel,0,0,0,0,0,763,midfielder,1
147094,josé izquierdo,4,0,0,4,0,2780,attacker,1
14746,don cowie,1,0,0,1,0,963,midfielder,1
14761,derek allan,0,0,0,0,0,10,defender,1
14792,simon lappin,0,0,0,0,0,291,midfielder,1
148153,lewis dunk,25,1,1,26,2,12144,defender,3
148262,jeff hendrick,20,1,1,21,2,10449,midfielder,3
14829,karim bagheri,0,0,0,0,0,18,midfielder,1
148368,divock origi,1,0,0,1,0,3379,attacker,1
148389,fabian de freitas,1,0,0,1,0,1635,attacker,1
148455,mohamed salah,4,0,0,4,0,11945,attacker,1
148657,tomas kalas,0,0,0,0,0,180,defender,1
14871,laurens ten heuvel,0,0,0,0,0,55,attacker,1
148967,konstantinos stafylidis,0,0,0,0,0,334,defender,1
149133,richard sneekes,3,1,0,4,1,1322,midfielder,2
149237,anthony knockaert,7,0,2,7,2,4586,attacker,3
14925,julius aghahowa,1,0,0,1,0,735,attacker,1
149294,alfons groenendijk,2,0,0,2,0,628,midfielder,1
14933,milan jovanovic,1,0,0,1,0,459,attacker,1
149389,mickaël debève,0,0,0,0,0,194,midfielder,1
149391,franck dumas,1,0,0,1,0,523,defender,1
14940,razvan rat,1,0,0,1,0,1132,defender,1
149473,john mcginlay,5,0,0,5,0,2802,attacker,1
149498,gabriel paulista,10,0,1,10,1,3625,defender,2
149507,iain dowie,33,0,0,33,0,14701,attacker,1
149517,darren patterson,8,0,0,8,0,1873,defender,1
149519,keith rowland,14,0,0,14,0,5870,defender,1
14960,martin albrechtsen,3,0,0,3,0,4300,defender,1
149716,ivan cavaleiro,3,0,0,3,0,2586,attacker,1
149729,joão mário,0,0,0,0,0,1026,midfielder,1
150434,chris casper,0,0,0,0,0,39,defender,1
15044,mattias jonson,2,0,1,2,1,1516,attacker,2
150458,john o'kane,5,0,0,5,0,1246,defender,1
15058,andy myers,7,1,0,8,1,7918,defender,2
15072,roman pavlyuchenko,5,0,0,5,0,3883,attacker,1
15074,pavel pogrebnyak,5,0,1,5,1,2979,attacker,2
150889,michel vonk,12,0,0,12,0,7038,defender,1
15163,andy barrowman,0,0,0,0,0,3,attacker,1
15164,keiren westwood,0,0,0,0,0,1611,goalkeeper,1
15166,liam rosenior,17,0,1,17,1,10783,defender,2
15167,mark yeates,1,0,0,1,0,120,attacker,1
15175,matt derbyshire,4,0,0,4,0,2547,attacker,1
15185,lukas podolski,1,0,0,1,0,3267,attacker,1
15209,andreas johansson,0,0,1,0,1,1061,midfielder,2
15219,giannis skopelitis,3,0,0,3,0,872,midfielder,1
15220,artur boruc,7,0,0,7,0,11443,goalkeeper,1
152223,glenn helder,0,0,0,0,0,2481,attacker,1
15242,grzegorz rasiak,2,0,0,2,0,617,attacker,1
152651,terence kongolo,4,0,0,4,0,3769,defender,1
1529,joe-max moore,5,0,0,5,0,2418,attacker,1
15297,gilles grimandi,20,2,1,22,3,7817,midfielder,4
153427,bebé,0,0,0,0,0,74,attacker,1
15351,andreas andersson,0,0,0,0,0,1788,attacker,1
15353,mikael nilsson,0,0,0,0,0,1028,defender,1
15378,andrey arshavin,7,0,0,7,0,6250,attacker,1
15387,imants bleidelis,0,0,0,0,0,8,midfielder,1
15391,michael johansen,2,0,0,2,0,500,midfielder,1
15420,alex,10,0,0,10,0,6658,defender,1
15423,konstantinos chalkias,0,0,0,0,0,450,goalkeeper,1
154311,attilio lombardo,3,0,0,3,0,1850,attacker,1
15447,tony cascarino,0,0,1,0,1,2019,attacker,2
15449,lee martin,0,0,0,0,0,90,midfielder,1
15458,daniele daino,0,0,0,0,0,167,defender,1
15466,antonio núñez,2,0,0,2,0,900,attacker,1
15469,jamie cureton,0,0,0,0,0,851,attacker,1
15511,robinho,3,0,0,3,0,3172,attacker,1
15520,marc hottiger,4,0,0,4,0,4607,defender,1
155233,michael harriman,0,0,0,0,0,119,defender,1
15561,alan quinn,4,0,0,4,0,2568,midfielder,1
155753,jean-guy wallemme,2,0,0,2,0,409,defender,1
15581,jiri jarosik,3,0,0,3,0,2095,defender,1
156934,tyias browning,1,0,0,1,0,328,defender,1
156941,john lundstram,12,0,1,12,1,4288,midfielder,2
156976,lilian martin,3,0,0,3,0,547,defender,1
15698,dave kitson,7,0,1,7,1,5031,attacker,2
15708,garry o'connor,2,0,0,2,0,1477,attacker,1
15712,christopher wreh,0,0,0,0,0,1117,attacker,1
15715,borja oubiña,0,0,0,0,0,16,midfielder,1
1573,thomas hitzlsperger,10,0,0,10,0,8132,midfielder,1
157368,tom ince,0,0,0,0,0,3168,attacker,1
157490,michael hector,2,0,0,2,0,263,defender,1
157495,benjamin mendy,8,0,0,8,0,3362,defender,1
157501,m'baye niang,2,0,0,2,0,1254,attacker,1
157506,jeffrey schlupp,16,0,0,16,0,10532,midfielder,1
157509,kurt zouma,11,1,0,12,1,12170,defender,2
15760,ibrahim afellay,4,0,1,4,1,2644,midfielder,2
157672,vladimir coufal,3,0,0,3,0,2245,defender,1
157677,leigh jenkinson,0,0,0,0,0,1917,midfielder,1
157682,fitzroy simpson,9,0,0,9,0,4539,midfielder,1
15773,phil bardsley,79,2,0,81,2,24155,defender,3
15799,santi cazorla,12,1,0,13,1,10806,midfielder,2
158022,fredrik ulvestad,1,0,0,1,0,67,midfielder,1
158112,michele padovano,1,0,0,1,0,592,attacker,1
15829,carlos bocanegra,21,0,0,21,0,9489,defender,1
15832,fangzhuo dong,0,0,0,0,0,73,attacker,1
15836,wayne quinn,0,0,0,0,0,1272,defender,1
15838,elliott ward,2,0,0,2,0,1312,defender,1
15844,anthony vanden borre,1,1,0,2,1,1325,defender,2
158623,cyrus christie,7,0,0,7,0,1943,defender,1
158697,gaël bigirimana,1,0,0,1,0,406,midfielder,1
158703,kieron freeman,0,0,0,0,0,5,defender,1
158764,stuart dallas,5,0,0,5,0,2601,defender,1
15881,sergey kornilenko,1,0,0,1,0,178,attacker,1
1589,bruno berner,1,0,0,1,0,270,defender,1
15894,daniël de ridder,1,0,0,1,0,1152,attacker,1
15904,thomas vermaelen,13,0,1,13,1,8742,defender,2
15910,tom soares,4,0,0,4,0,1966,midfielder,1
15916,jason brown,0,0,0,0,0,693,goalkeeper,1
15919,darius henderson,3,0,0,3,0,2195,attacker,1
15921,matt jarvis,6,0,0,6,0,14538,attacker,1
159239,dennis srbeny,0,0,0,0,0,39,attacker,1
15926,jay demerit,4,0,0,4,0,2710,defender,1
15928,will hoskins,0,0,0,0,0,421,attacker,1
